Index,Tindakan / Action Log
72,"[A1 ] Action: Inject Fiktif [19000/19780] | Receipt: 03-251230/00109 | Product: 0140770    | Qty Added: 1 | Value: 975.00 | Remaining Gap: 21,636,926.76"
73,"[A1 ] Action: Inject Fiktif [19500/19780] | Receipt: 03-251231/00029 | Product: 0741066 | Qty Added: 1 | Value: 8,500.00 | Remaining Gap: 12,644,351.76"
74,"[A1 ] Action: Inject Fiktif [19780/19780] | Receipt: 2512-00023      | Product: 0080035    | Qty Added: 10 | Value: 45,000.00 | Remaining Gap: 8,047,626.76"
75,"[A1 ] Action: Inject Fiktif [19780/19780] | Receipt: 2512-00023      | Product: 0250391    | Qty Added: 1 | Value: 1,800.00 | Remaining Gap: 8,045,826.76"
76,"[PPN] Selesai Proporsional. Total Ditambah: 337,341,059.00. Sisa Gap: 8,045,826.76"
77,[PPN] Memulai Global Addition Loop...
78,"[PPN] Global Addition Selesai. Ditambah: 8,045,400.00. Sisa Gap Akhir: 426.76"
79,--- Fase Penyesuaian PPN Selesai & Committed ---
80,--- Memulai Fase Penyesuaian BTKP ---
81,"BTKP -> Current: 305,482,650.00 | Gap: 3,194,517,350.00"
82,"[BTKP] Target Penambahan: 3,194,517,350.00"
83,[BTKP] Faktor Penambahan (P): 10.4573
84,"[A1 ] Action: Inject Fiktif [500/3493] | Receipt: 05-251203/00021 | Product: 0170233    | Qty Added: 20 | Value: 189,000.00 | Remaining Gap: 2,836,966,950.00"
85,"[A1 ] Action: Inject Fiktif [500/3493] | Receipt: 05-251203/00021 | Product: 0170076 | Qty Added: 1 | Value: 4,000.00 | Remaining Gap: 2,836,962,950.00"
86,"[A1 ] Action: Inject Fiktif [500/3493] | Receipt: 05-251203/00021 | Product: 0020007 | Qty Added: 1 | Value: 3,500.00 | Remaining Gap: 2,836,959,450.00"
87,"[A1 ] Action: Inject Fiktif [1000/3493] | Receipt: 03-251207/00079 | Product: 0010053 | Qty Added: 212 | Value: 1,738,400.00 | Remaining Gap: 2,438,196,050.00"
88,"[A1 ] Action: Inject Fiktif [1000/3493] | Receipt: 03-251207/00079 | Product: 0170076 | Qty Added: 1 | Value: 4,000.00 | Remaining Gap: 2,438,192,050.00"
89,"[A1 ] Action: Inject Fiktif [1000/3493] | Receipt: 03-251207/00079 | Product: 0250380    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 2,438,190,150.00"
90,"[A1 ] Action: Inject Fiktif [1500/3493] | Receipt: 03-251211/00100 | Product: 0010020 | Qty Added: 214 | Value: 2,589,400.00 | Remaining Gap: 2,045,519,400.00"
91,"[A1 ] Action: Inject Fiktif [1500/3493] | Receipt: 03-251211/00100 | Product: 0170070 | Qty Added: 1 | Value: 3,900.00 | Remaining Gap: 2,045,515,500.00"
92,"[A1 ] Action: Inject Fiktif [2000/3493] | Receipt: 04-251215/00145 | Product: 0170403    | Qty Added: 8 | Value: 686,800.00 | Remaining Gap: 1,601,116,500.00"
93,"[A1 ] Action: Inject Fiktif [2000/3493] | Receipt: 04-251215/00145 | Product: 0050065 | Qty Added: 1 | Value: 15,850.00 | Remaining Gap: 1,601,100,650.00"
94,"[A1 ] Action: Inject Fiktif [2000/3493] | Receipt: 04-251215/00145 | Product: 0010346    | Qty Added: 1 | Value: 10,350.00 | Remaining Gap: 1,601,090,300.00"
95,"[A1 ] Action: Inject Fiktif [2000/3493] | Receipt: 04-251215/00145 | Product: 0250380    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 1,601,088,400.00"
96,"[A1 ] Action: Inject Fiktif [2500/3493] | Receipt: 01-251222/00075 | Product: 0010053 | Qty Added: 21 | Value: 172,200.00 | Remaining Gap: 1,047,477,550.00"
97,"[A1 ] Action: Inject Fiktif [2500/3493] | Receipt: 01-251222/00075 | Product: 0170070 | Qty Added: 1 | Value: 3,900.00 | Remaining Gap: 1,047,473,650.00"
98,"[A1 ] Action: Inject Fiktif [3000/3493] | Receipt: 04-251227/00032 | Product: 0050060 | Qty Added: 1 | Value: 15,200.00 | Remaining Gap: 391,512,700.00"
99,"[A1 ] Action: Inject Fiktif [3000/3493] | Receipt: 04-251227/00032 | Product: 0250380    | Qty Added: 2 | Value: 3,800.00 | Remaining Gap: 391,508,900.00"
100,"[A1 ] Action: Inject Fiktif [3493/3493] | Receipt: 05-251231/00100 | Product: 0010047 | Qty Added: 49 | Value: 818,300.00 | Remaining Gap: 2,989,100.00"
101,"[A1 ] Action: Inject Fiktif [3493/3493] | Receipt: 05-251231/00100 | Product: 0010021    | Qty Added: 1 | Value: 13,000.00 | Remaining Gap: 2,976,100.00"
102,"[BTKP] Selesai Proporsional. Total Ditambah: 3,191,541,250.00. Sisa Gap: 2,976,100.00"
103,[BTKP] Memulai Global Addition Loop...
104,"[BTKP] Global Addition Selesai. Ditambah: 2,975,050.00. Sisa Gap Akhir: 1,050.00"
105,--- Fase Penyesuaian BTKP Selesai & Committed ---
