Index,Tindakan / Action Log
31,"[A1 ] Action: Inject Fiktif [8000/20364] | Receipt: 01-251111/00083 | Product: 0220132    | Qty Added: 1 | Value: 1,700.00 | Remaining Gap: 185,979,079.61"
32,"[A1 ] Action: Inject Fiktif [8500/20364] | Receipt: 05-251111/00018 | Product: 0360157    | Qty Added: 2 | Value: 10,300.00 | Remaining Gap: 179,522,779.61"
33,"[A1 ] Action: Inject Fiktif [8500/20364] | Receipt: 05-251111/00018 | Product: 0110008 | Qty Added: 1 | Value: 2,100.00 | Remaining Gap: 179,520,679.61"
34,"[A1 ] Action: Inject Fiktif [9000/20364] | Receipt: 04-251112/00100 | Product: 0322037    | Qty Added: 14 | Value: 15,400.00 | Remaining Gap: 170,968,179.61"
35,"[A1 ] Action: Inject Fiktif [9500/20364] | Receipt: 04-251113/00038 | Product: 0320051    | Qty Added: 1 | Value: 7,600.00 | Remaining Gap: 165,154,079.61"
36,"[A1 ] Action: Inject Fiktif [10000/20364] | Receipt: 03-251114/00056 | Product: 0612394    | Qty Added: 1 | Value: 15,300.00 | Remaining Gap: 156,617,954.61"
37,"[A1 ] Action: Inject Fiktif [10000/20364] | Receipt: 03-251114/00056 | Product: 0080298    | Qty Added: 3 | Value: 3,975.00 | Remaining Gap: 156,613,979.61"
38,"[A1 ] Action: Inject Fiktif [10500/20364] | Receipt: 01-251115/00114 | Product: 0320607    | Qty Added: 3 | Value: 11,250.00 | Remaining Gap: 149,683,579.61"
39,"[A1 ] Action: Inject Fiktif [11000/20364] | Receipt: 04-251115/00096 | Product: 0300100    | Qty Added: 1 | Value: 5,700.00 | Remaining Gap: 143,361,054.61"
40,"[A1 ] Action: Inject Fiktif [11500/20364] | Receipt: 04-251116/00040 | Product: 0350182    | Qty Added: 1 | Value: 4,450.00 | Remaining Gap: 136,130,454.61"
41,"[A1 ] Action: Inject Fiktif [12000/20364] | Receipt: 03-251117/00008 | Product: 0443071    | Qty Added: 1 | Value: 7,400.00 | Remaining Gap: 130,069,179.61"
42,"[A1 ] Action: Inject Fiktif [12000/20364] | Receipt: 03-251117/00008 | Product: 0320087 | Qty Added: 1 | Value: 1,850.00 | Remaining Gap: 130,067,329.61"
43,"[A1 ] Action: Inject Fiktif [12500/20364] | Receipt: 02-251118/00074 | Product: 0101530    | Qty Added: 3 | Value: 5,850.00 | Remaining Gap: 123,670,854.61"
44,"[A1 ] Action: Inject Fiktif [12500/20364] | Receipt: 02-251118/00074 | Product: 0080328    | Qty Added: 1 | Value: 1,300.00 | Remaining Gap: 123,669,554.61"
45,"[A1 ] Action: Inject Fiktif [13000/20364] | Receipt: 01-251119/00091 | Product: 0220115    | Qty Added: 1 | Value: 9,300.00 | Remaining Gap: 117,203,429.61"
46,"[A1 ] Action: Inject Fiktif [13500/20364] | Receipt: 01-251120/00036 | Product: 0820042 | Qty Added: 4 | Value: 44,000.00 | Remaining Gap: 108,293,979.61"
47,"[A1 ] Action: Inject Fiktif [13500/20364] | Receipt: 01-251120/00036 | Product: 0321249    | Qty Added: 3 | Value: 5,400.00 | Remaining Gap: 108,288,579.61"
48,"[A1 ] Action: Inject Fiktif [13500/20364] | Receipt: 01-251120/00036 | Product: 0250031 | Qty Added: 3 | Value: 1,200.00 | Remaining Gap: 108,287,379.61"
49,"[A1 ] Action: Inject Fiktif [14000/20364] | Receipt: 05-251120/00090 | Product: 0360508    | Qty Added: 2 | Value: 9,000.00 | Remaining Gap: 102,894,929.61"
50,"[A1 ] Action: Inject Fiktif [14500/20364] | Receipt: 01-251122/00038 | Product: 0700557    | Qty Added: 1 | Value: 5,500.00 | Remaining Gap: 96,894,454.61"
51,"[A1 ] Action: Inject Fiktif [14500/20364] | Receipt: 01-251122/00038 | Product: 0360002    | Qty Added: 1 | Value: 5,150.00 | Remaining Gap: 96,889,304.61"
52,"[A1 ] Action: Inject Fiktif [15000/20364] | Receipt: 04-251122/00088 | Product: 0180145    | Qty Added: 1 | Value: 7,100.00 | Remaining Gap: 90,291,154.61"
53,"[A1 ] Action: Inject Fiktif [15000/20364] | Receipt: 04-251122/00088 | Product: 0495004    | Qty Added: 1 | Value: 4,500.00 | Remaining Gap: 90,286,654.61"
54,"[A1 ] Action: Inject Fiktif [15500/20364] | Receipt: 03-251123/00071 | Product: 0230115    | Qty Added: 3 | Value: 15,300.00 | Remaining Gap: 82,846,754.61"
55,"[A1 ] Action: Inject Fiktif [15500/20364] | Receipt: 03-251123/00071 | Product: 0250329    | Qty Added: 1 | Value: 800.00 | Remaining Gap: 82,845,954.61"
56,"[A1 ] Action: Inject Fiktif [16000/20364] | Receipt: 03-251124/00062 | Product: 0700703    | Qty Added: 1 | Value: 3,650.00 | Remaining Gap: 76,839,173.61"
57,"[A1 ] Action: Inject Fiktif [16000/20364] | Receipt: 03-251124/00062 | Product: 0110421    | Qty Added: 1 | Value: 1,850.00 | Remaining Gap: 76,837,323.61"
58,"[A1 ] Action: Inject Fiktif [16500/20364] | Receipt: 02-251125/00036 | Product: 0280084 | Qty Added: 1 | Value: 1,850.00 | Remaining Gap: 70,575,548.61"
59,"[A1 ] Action: Inject Fiktif [16500/20364] | Receipt: 02-251125/00036 | Product: 0070210    | Qty Added: 1 | Value: 900.00 | Remaining Gap: 70,574,648.61"
60,"[A1 ] Action: Inject Fiktif [17000/20364] | Receipt: 01-251126/00057 | Product: 0330408    | Qty Added: 1 | Value: 8,350.00 | Remaining Gap: 63,623,898.61"
61,"[A1 ] Action: Inject Fiktif [17000/20364] | Receipt: 01-251126/00057 | Product: 0180008    | Qty Added: 4 | Value: 6,600.00 | Remaining Gap: 63,617,298.61"
62,"[A1 ] Action: Inject Fiktif [18000/20364] | Receipt: 05-251127/00012 | Product: 0320363    | Qty Added: 1 | Value: 11,000.00 | Remaining Gap: 49,733,348.61"
63,"[A1 ] Action: Inject Fiktif [18000/20364] | Receipt: 05-251127/00012 | Product: 0321659    | Qty Added: 7 | Value: 6,650.00 | Remaining Gap: 49,726,698.61"
64,"[A1 ] Action: Inject Fiktif [18500/20364] | Receipt: 03-251128/00089 | Product: 0240179    | Qty Added: 5 | Value: 49,000.00 | Remaining Gap: 42,498,873.61"
65,"[A1 ] Action: Inject Fiktif [18500/20364] | Receipt: 03-251128/00089 | Product: 0080204    | Qty Added: 1 | Value: 1,400.00 | Remaining Gap: 42,497,473.61"
66,"[A1 ] Action: Inject Fiktif [18500/20364] | Receipt: 03-251128/00089 | Product: 0321659    | Qty Added: 1 | Value: 950.00 | Remaining Gap: 42,496,523.61"
67,"[A1 ] Action: Inject Fiktif [19000/20364] | Receipt: 02-251129/00014 | Product: 0350279    | Qty Added: 12 | Value: 10,800.00 | Remaining Gap: 34,227,973.61"
68,"[A1 ] Action: Inject Fiktif [19500/20364] | Receipt: 04-251129/00128 | Product: 0100045 | Qty Added: 1 | Value: 3,800.00 | Remaining Gap: 25,920,373.61"
69,"[A1 ] Action: Inject Fiktif [19500/20364] | Receipt: 04-251129/00128 | Product: 0250423    | Qty Added: 2 | Value: 1,000.00 | Remaining Gap: 25,919,373.61"
70,"[A1 ] Action: Inject Fiktif [20000/20364] | Receipt: 02-251130/00109 | Product: 0410099 | Qty Added: 1 | Value: 17,400.00 | Remaining Gap: 14,749,198.61"
71,"[A1 ] Action: Inject Fiktif [20000/20364] | Receipt: 02-251130/00109 | Product: 0080430    | Qty Added: 4 | Value: 3,900.00 | Remaining Gap: 14,745,298.61"
72,"[A1 ] Action: Inject Fiktif [20364/20364] | Receipt: 05-251130/00144 | Product: 0090016    | Qty Added: 1 | Value: 2,050.00 | Remaining Gap: 8,240,223.61"
73,"[PPN] Selesai Proporsional. Total Ditambah: 300,761,990.00. Sisa Gap: 8,240,223.61"
74,[PPN] Memulai Global Addition Loop...
75,"[PPN] Global Addition Selesai. Ditambah: 8,240,075.00. Sisa Gap Akhir: 148.61"
76,--- Fase Penyesuaian PPN Selesai & Committed ---
77,--- Memulai Fase Penyesuaian BTKP ---
78,"BTKP -> Current: 284,462,649.00 | Gap: 15,537,351.00"
79,"[BTKP] Target Penambahan: 15,537,351.00"
80,[BTKP] Faktor Penambahan (P): 0.0546
81,"[A1 ] Action: Inject Fiktif [1000/3530] | Receipt: 01-251107/00036 | Product: 0250380    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 12,631,701.00"
82,"[A1 ] Action: Inject Fiktif [1500/3530] | Receipt: 03-251110/00099 | Product: 0250380    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 10,733,551.00"
83,"[A1 ] Action: Inject Fiktif [2000/3530] | Receipt: 04-251115/00097 | Product: 0250380    | Qty Added: 3 | Value: 5,700.00 | Remaining Gap: 9,158,051.00"
84,"[A1 ] Action: Inject Fiktif [3000/3530] | Receipt: 01-251127/00032 | Product: 0170076 | Qty Added: 4 | Value: 16,000.00 | Remaining Gap: 4,781,801.00"
85,"[A1 ] Action: Inject Fiktif [3000/3530] | Receipt: 01-251127/00032 | Product: 0250380    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 4,779,901.00"
86,"[A1 ] Action: Inject Fiktif [3500/3530] | Receipt: 04-251130/00045 | Product: 0250380    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 2,799,651.00"
87,"[A1 ] Action: Inject Fiktif [3530/3530] | Receipt: 05-251130/00143 | Product: 0250380    | Qty Added: 1 | Value: 1,900.00 | Remaining Gap: 2,658,251.00"
88,"[BTKP] Selesai Proporsional. Total Ditambah: 12,879,100.00. Sisa Gap: 2,658,251.00"
89,[BTKP] Memulai Global Addition Loop...
90,"[BTKP] Global Addition Selesai. Ditambah: 2,657,900.00. Sisa Gap Akhir: 351.00"
91,--- Fase Penyesuaian BTKP Selesai & Committed ---
